ano_premio,certamen,nombre_actor_actriz,genero,pais_origen_nacionalidad,pelicula,idioma_actuacion,carrera_previa_hollywood,fue_nominado_oscar
1957,Globo de Oro,Cantinflas,Masculino,México,Around the World in 80 Days,Inglés / Español,No,No
1957,Globo de Oro,Deborah Kerr,Femenino,Reino Unido,The King and I,Inglés,Sí,Sí
1957,Globo de Oro,Ingrid Bergman,Femenino,Suecia,Anastasia,Inglés,Sí,Sí
1957,Globo de Oro,Kirk Douglas,Masculino,Estados Unidos,Lust for Life,Inglés,Sí,Sí
1958,BAFTA,Alec Guinness,Masculino,Reino Unido,The Bridge on the River Kwai,Inglés,Sí,Sí
1958,BAFTA,Heather Sears,Femenino,Reino Unido,The Story of Esther Costello,Inglés,No,No
1958,BAFTA,Henry Fonda,Masculino,Estados Unidos,12 Angry Men,Inglés,Sí,No
1958,BAFTA,Simone Signoret,Femenino,Francia,The Witches of Salem,Francés,No,No
1958,Festival de Berlín,Anna Magnani,Femenino,Italia,Wild Is the Wind,Inglés,Sí,Sí
1958,Festival de Berlín,Sidney Poitier,Masculino,Estados Unidos,The Defiant Ones,Inglés,Sí,Sí
1958,Festival de Cannes,Paul Newman,Masculino,Estados Unidos,"The Long, Hot Summer",Inglés,Sí,No
1958,Festival de Venecia,Alec Guinness,Masculino,Reino Unido,The Horse's Mouth,Inglés,Sí,No
1958,Festival de Venecia,Sophia Loren,Femenino,Italia,The Black Orchid,Inglés,Sí,No
1958,Globo de Oro,Alec Guinness,Masculino,Reino Unido,The Bridge on the River Kwai,Inglés,Sí,Sí
1958,Globo de Oro,Frank Sinatra,Masculino,Estados Unidos,Pal Joey,Inglés,Sí,No
1958,Globo de Oro,Joanne Woodward,Femenino,Estados Unidos,The Three Faces of Eve,Inglés,Sí,Sí
1958,Globo de Oro,Kay Kendall,Femenino,Reino Unido,Les Girls,Inglés,No,No
1958,Globo de Oro,Taina Elg,Femenino,Finlandia,Les Girls,Inglés,No,No
1959,BAFTA,Irene Worth,Femenino,Estados Unidos,Orders to Kill,Inglés,No,No
1959,BAFTA,Sidney Poitier,Masculino,Estados Unidos,The Defiant Ones,Inglés,Sí,Sí
1959,BAFTA,Simone Signoret,Femenino,Francia,Room at the Top,Inglés,No,Sí
1959,BAFTA,Trevor Howard,Masculino,Reino Unido,Roots of Heaven,Inglés,Sí,No
1959,Festival de Berlín,Jean Gabin,Masculino,Francia,Archimède le clochard,Francés,No,No
1959,Festival de Berlín,Shirley MacLaine,Femenino,Estados Unidos,Ask Any Girl,Inglés,Sí,No
1959,Festival de Cannes,Dean Stockwell,Masculino,Estados Unidos,Compulsion,Inglés,Sí,No
1959,Festival de Cannes,Simone Signoret,Femenino,Francia,Room at the Top,Inglés,No,Sí
1959,Festival de Venecia,Shirley MacLaine,Femenino,Estados Unidos,Ask Any Girl,Inglés,Sí,No
1959,Globo de Oro,Danny Kaye,Masculino,Estados Unidos,Me and the Colonel,Inglés,Sí,No
1959,Globo de Oro,David Niven,Masculino,Reino Unido,Separate Tables,Inglés,Sí,Sí
1959,Globo de Oro,Rosalind Russell,Femenino,Estados Unidos,Auntie Mame,Inglés,Sí,Sí
1959,Globo de Oro,Shirley MacLaine,Femenino,Estados Unidos,Ask Any Girl,Inglés,Sí,No
1960,BAFTA,Audrey Hepburn,Femenino,Reino Unido,The Nun's Story,Inglés,Sí,Sí
1960,BAFTA,Jack Lemmon,Masculino,Estados Unidos,Some Like It Hot,Inglés,Sí,Sí
1960,BAFTA,Peter Sellers,Masculino,Reino Unido,I'm All Right Jack,Inglés,No,No
1960,BAFTA,Shirley MacLaine,Femenino,Estados Unidos,Ask Any Girl,Inglés,Sí,No
1960,Festival de Berlín,Fredric March,Masculino,Estados Unidos,Inherit the Wind,Inglés,Sí,No
1960,Festival de Berlín,Juliette Mayniel,Femenino,Francia,Kirmes,Alemán,No,No
1960,Festival de Cannes,Jeanne Moreau,Femenino,Francia,Moderato Cantabile,Francés,No,No
1960,Festival de Cannes,Marcello Mastroianni,Masculino,Italia,La Dolce Vita,Italiano,No,No
1960,Festival de Cannes,Melina Mercouri,Femenino,Grecia,Never on Sunday,Griego / Inglés,No,Sí
1960,Festival de Venecia,Shirley MacLaine,Femenino,Estados Unidos,The Apartment,Inglés,Sí,Sí
1960,Globo de Oro,Charlton Heston,Masculino,Estados Unidos,Ben-Hur,Inglés,Sí,Sí
1960,Globo de Oro,Elizabeth Taylor,Femenino,Reino Unido,"Suddenly, Last Summer",Inglés,Sí,Sí
1960,Globo de Oro,Jack Lemmon,Masculino,Estados Unidos,Some Like It Hot,Inglés,Sí,Sí
1960,Globo de Oro,Marilyn Monroe,Femenino,Estados Unidos,Some Like It Hot,Inglés,Sí,No
1961,BAFTA,Jack Lemmon,Masculino,Estados Unidos,The Apartment,Inglés,Sí,Sí
1961,BAFTA,Peter Finch,Masculino,Australia,The Trials of Oscar Wilde,Inglés,No,No
1961,BAFTA,Rachel Roberts,Femenino,Reino Unido,Saturday Night and Sunday Morning,Inglés,No,No
1961,BAFTA,Shirley MacLaine,Femenino,Estados Unidos,The Apartment,Inglés,Sí,Sí
1961,Festival de Berlín,Framboise Gommendy,Femenino,Francia,Une femme est une femme,Francés,No,No
1961,Festival de Berlín,Peter Finch,Masculino,Reino Unido,No Love for Johnnie,Inglés,Sí,No
1961,Festival de Cannes,Anthony Perkins,Masculino,Estados Unidos,Goodbye Again,Inglés,Sí,No
1961,Festival de Cannes,Sophia Loren,Femenino,Italia,La ciociara,Italiano,No,Sí
1961,Festival de Venecia,Suzanne Flon,Femenino,Francia,Tu ne tueras point,Francés,No,No
1961,Festival de Venecia,Toshiro Mifune,Masculino,Japón,Yojimbo,Japonés,No,No
1961,Globo de Oro,Burt Lancaster,Masculino,Estados Unidos,Elmer Gantry,Inglés,Sí,Sí
1961,Globo de Oro,Greer Garson,Femenino,Reino Unido,Sunrise at Campobello,Inglés,Sí,Sí
1961,Globo de Oro,Jack Lemmon,Masculino,Estados Unidos,The Apartment,Inglés,Sí,Sí
1961,Globo de Oro,Shirley MacLaine,Femenino,Estados Unidos,The Apartment,Inglés,Sí,Sí
1962,BAFTA,Dora Bryan,Femenino,Reino Unido,A Taste of Honey,Inglés,No,No
1962,BAFTA,Paul Newman,Masculino,Estados Unidos,The Hustler,Inglés,Sí,Sí
1962,BAFTA,Peter Finch,Masculino,Australia,No Love for Johnnie,Inglés,No,No
1962,BAFTA,Sophia Loren,Femenino,Italia,La Ciociara (Two Women),Italiano,No,Sí
1962,Festival de Berlín,James Stewart,Masculino,Estados Unidos,Mr. Hobbs Takes a Vacation,Inglés,Sí,No
1962,Festival de Berlín,Rita Tushingham,Femenino,Reino Unido,A Taste of Honey,Inglés,No,No
1962,Festival de Cannes,Katharine Hepburn,Femenino,Estados Unidos,Long Day's Journey into Night,Inglés,Sí,Sí
1962,Festival de Cannes,Ralph Richardson,Masculino,Reino Unido,Long Day's Journey into Night,Inglés,Sí,No
1962,Festival de Venecia,Burt Lancaster,Masculino,Estados Unidos,Birdman of Alcatraz,Inglés,Sí,Sí
1962,Festival de Venecia,Emmanuelle Riva,Femenino,Francia,Thérèse Desqueyroux,Francés,No,No
1962,Globo de Oro,Geraldine Page,Femenino,Estados Unidos,Summer and Smoke,Inglés,Sí,Sí
1962,Globo de Oro,Glenn Ford,Masculino,Canadá,Pocketful of Miracles,Inglés,Sí,No
1962,Globo de Oro,Maximilian Schell,Masculino,Austria,Judgment at Nuremberg,Inglés,No,Sí
1962,Globo de Oro,Rosalind Russell,Femenino,Estados Unidos,A Majority of One,Inglés,Sí,No
1963,BAFTA,Anne Bancroft,Femenino,Estados Unidos,The Miracle Worker,Inglés,Sí,Sí
1963,BAFTA,Burt Lancaster,Masculino,Estados Unidos,Birdman of Alcatraz,Inglés,Sí,Sí
1963,BAFTA,Leslie Caron,Femenino,Francia,The L-Shaped Room,Inglés,No,Sí
1963,BAFTA,Peter O'Toole,Masculino,Irlanda,Lawrence of Arabia,Inglés,No,Sí
1963,Festival de Berlín,Bibi Andersson,Femenino,Suecia,Älskande par,Sueco,No,No
1963,Festival de Berlín,Sidney Poitier,Masculino,Estados Unidos,Lilies of the Field,Inglés,Sí,Sí
1963,Festival de Cannes,Marina Vlady,Femenino,Francia,L'ape regina,Italiano,No,No
1963,Festival de Cannes,Richard Harris,Masculino,Irlanda,This Sporting Life,Inglés,No,Sí
1963,Festival de Venecia,Albert Finney,Masculino,Reino Unido,Tom Jones,Inglés,No,Sí
1963,Festival de Venecia,Delphine Seyrig,Femenino,Francia,Muriel,Francés,No,No
1963,Globo de Oro,Geraldine Page,Femenino,Estados Unidos,Sweet Bird of Youth,Inglés,Sí,Sí
1963,Globo de Oro,Gregory Peck,Masculino,Estados Unidos,To Kill a Mockingbird,Inglés,Sí,Sí
1963,Globo de Oro,Marcello Mastroianni,Masculino,Italia,Divorzio all'italiana,Italiano,No,Sí
1963,Globo de Oro,Rosalind Russell,Femenino,Estados Unidos,Gypsy,Inglés,Sí,No
1964,BAFTA,Dirk Bogarde,Masculino,Reino Unido,The Servant,Inglés,No,No
1964,BAFTA,Marcello Mastroianni,Masculino,Italia,Divorzio all'italiana,Italiano,No,Sí
1964,BAFTA,Patricia Neal,Femenino,Estados Unidos,Hud,Inglés,Sí,Sí
1964,BAFTA,Rachel Roberts,Femenino,Reino Unido,This Sporting Life,Inglés,No,Sí
1964,Festival de Berlín,Rod Steiger,Masculino,Estados Unidos,The Pawnbroker,Inglés,Sí,Sí
1964,Festival de Berlín,Sachiko Hidari,Femenino,Japón,Kanojo to kare,Japonés,No,No
1964,Festival de Cannes,Anne Bancroft,Femenino,Estados Unidos,The Pumpkin Eater,Inglés,Sí,Sí
1964,Festival de Cannes,Antony Hopkins,Masculino,Reino Unido,The Pumpkin Eater,Inglés,No,No
1964,Festival de Venecia,Harriet Andersson,Femenino,Suecia,To Love,Sueco,No,No
1964,Festival de Venecia,Tom Courtenay,Masculino,Reino Unido,King & Country,Inglés,No,No
1964,Globo de Oro,Alberto Sordi,Masculino,Italia,Il diavolo,Italiano,No,No
1964,Globo de Oro,Leslie Caron,Femenino,Francia,The L-Shaped Room,Inglés,No,Sí
1964,Globo de Oro,Shirley MacLaine,Femenino,Estados Unidos,Irma la Douce,Inglés,Sí,Sí
1964,Globo de Oro,Sidney Poitier,Masculino,Estados Unidos,Lilies of the Field,Inglés,Sí,Sí
1965,BAFTA,Anne Bancroft,Femenino,Estados Unidos,The Pumpkin Eater,Inglés,Sí,Sí
1965,BAFTA,Audrey Hepburn,Femenino,Reino Unido,Charade,Inglés,Sí,No
1965,BAFTA,Marcello Mastroianni,Masculino,Italia,I compagni,Italiano,No,No
1965,BAFTA,Richard Attenborough,Masculino,Reino Unido,Guns at Batasi,Inglés,No,No
1965,Festival de Berlín,Lee Marvin,Masculino,Estados Unidos,Cat Ballou,Inglés,Sí,Sí
1965,Festival de Berlín,Madhur Jaffrey,Femenino,India,Shakespeare Wallah,Inglés,No,No
1965,Festival de Cannes,Samantha Eggar,Femenino,Reino Unido,The Collector,Inglés,No,Sí
1965,Festival de Cannes,Terence Stamp,Masculino,Reino Unido,The Collector,Inglés,No,No
1965,Festival de Venecia,Annie Girardot,Femenino,Francia,Trois chambres à Manhattan,Francés,No,No
1965,Festival de Venecia,Toshiro Mifune,Masculino,Japón,Red Beard,Japonés,No,No
1965,Globo de Oro,Anne Bancroft,Femenino,Estados Unidos,The Pumpkin Eater,Inglés,Sí,Sí
1965,Globo de Oro,Julie Andrews,Femenino,Reino Unido,Mary Poppins,Inglés,No,Sí
1965,Globo de Oro,Peter O'Toole,Masculino,Irlanda,Becket,Inglés,Sí,Sí
1965,Globo de Oro,Rex Harrison,Masculino,Reino Unido,My Fair Lady,Inglés,Sí,Sí
1966,BAFTA,Dirk Bogarde,Masculino,Reino Unido,Darling,Inglés,No,No
1966,BAFTA,Julie Christie,Femenino,Reino Unido,Darling,Inglés,No,Sí
1966,BAFTA,Lee Marvin,Masculino,Estados Unidos,Cat Ballou,Inglés,Sí,Sí
1966,BAFTA,Patricia Neal,Femenino,Estados Unidos,In Harm's Way,Inglés,Sí,No
1966,Festival de Berlín,Jean-Pierre Léaud,Masculino,Francia,Masculin féminin,Francés,No,No
1966,Festival de Berlín,Lola Albright,Femenino,Estados Unidos,Lord Love a Duck,Inglés,Sí,No
1966,Festival de Cannes,Per Oscarsson,Masculino,Suecia,Sult,Danés,No,No
1966,Festival de Cannes,Vanessa Redgrave,Femenino,Reino Unido,Morgan!,Inglés,No,Sí
1966,Festival de Venecia,Jacques Perrin,Masculino,Francia,Un homme et son domaine,Francés,No,No
1966,Festival de Venecia,Natalya Arinbasarova,Femenino,Unión Soviética,The First Teacher,Ruso,No,No
1966,Globo de Oro,Julie Andrews,Femenino,Reino Unido,The Sound of Music,Inglés,Sí,Sí
1966,Globo de Oro,Lee Marvin,Masculino,Estados Unidos,Cat Ballou,Inglés,Sí,Sí
1966,Globo de Oro,Omar Sharif,Masculino,Egipto,Doctor Zhivago,Inglés,No,No
1966,Globo de Oro,Samantha Eggar,Femenino,Reino Unido,The Collector,Inglés,No,Sí
1967,BAFTA,Elizabeth Taylor,Femenino,Reino Unido,Who's Afraid of Virginia Woolf?,Inglés,Sí,Sí
1967,BAFTA,Jeanne Moreau,Femenino,Francia,Viva Maria!,Francés,No,No
1967,BAFTA,Richard Burton,Masculino,Reino Unido,Who's Afraid of Virginia Woolf?,Inglés,Sí,Sí
1967,BAFTA,Rod Steiger,Masculino,Estados Unidos,In the Heat of the Night,Inglés,Sí,Sí
1967,Festival de Berlín,Edith Evans,Femenino,Reino Unido,The Whisperers,Inglés,Sí,Sí
1967,Festival de Berlín,Michel Simon,Masculino,Francia,Le vieil homme et l'enfant,Francés,No,No
1967,Festival de Cannes,Oded Kotler,Masculino,Israel,Three Days and a Child,Hebreo,No,No
1967,Festival de Cannes,Pia Degermark,Femenino,Suecia,Elvira Madigan,Sueco,No,No
1967,Festival de Venecia,Ljubiša Samardžić,Masculino,Yugoslavia,Jutro,Serbocroata,No,No
1967,Festival de Venecia,Shirley Knight,Femenino,Estados Unidos,Dutchman,Inglés,Sí,No
1967,Globo de Oro,Alan Arkin,Masculino,Estados Unidos,The Russians Are Coming...,Inglés,Sí,Sí
1967,Globo de Oro,Anouk Aimée,Femenino,Francia,Un homme et une femme,Francés,No,Sí
1967,Globo de Oro,Lynn Redgrave,Femenino,Reino Unido,Georgy Girl,Inglés,No,Sí
1967,Globo de Oro,Paul Scofield,Masculino,Reino Unido,A Man for All Seasons,Inglés,No,Sí
1968,BAFTA,Katharine Hepburn,Femenino,Estados Unidos,Guess Who's Coming to Dinner,Inglés,Sí,Sí
1968,BAFTA,Paul Scofield,Masculino,Reino Unido,A Man for All Seasons,Inglés,No,Sí
1968,Festival de Berlín,Jean-Louis Trintignant,Masculino,Francia,L'Homme qui ment,Francés,No,No
1968,Festival de Berlín,Stephane Audran,Femenino,Francia,Les Biches,Francés,No,No
1968,Festival de Venecia,John Marley,Masculino,Estados Unidos,Faces,Inglés,Sí,No
1968,Festival de Venecia,Laura Betti,Femenino,Italia,Teorema,Italiano,No,No
1968,Globo de Oro,Anne Bancroft,Femenino,Estados Unidos,The Graduate,Inglés,Sí,Sí
1968,Globo de Oro,Edith Evans,Femenino,Reino Unido,The Whisperers,Inglés,No,Sí
1968,Globo de Oro,Richard Harris,Masculino,Irlanda,Camelot,Inglés,Sí,No
1968,Globo de Oro,Rod Steiger,Masculino,Estados Unidos,In the Heat of the Night,Inglés,Sí,Sí
1969,BAFTA,Dustin Hoffman,Masculino,Estados Unidos,Midnight Cowboy,Inglés,Sí,Sí
1969,BAFTA,Katharine Hepburn,Femenino,Estados Unidos,The Lion in Winter,Inglés,Sí,Sí
1969,Festival de Cannes,Jean-Louis Trintignant,Masculino,Francia,Z,Francés,No,No
1969,Festival de Cannes,Vanessa Redgrave,Femenino,Reino Unido,Isadora,Inglés,Sí,Sí
1969,Globo de Oro,Barbra Streisand,Femenino,Estados Unidos,Funny Girl,Inglés,Sí,Sí
1969,Globo de Oro,Joanne Woodward,Femenino,Estados Unidos,"Rachel, Rachel",Inglés,Sí,Sí
1969,Globo de Oro,Peter O'Toole,Masculino,Irlanda,The Lion in Winter,Inglés,Sí,Sí
1969,Globo de Oro,Ron Moody,Masculino,Reino Unido,Oliver!,Inglés,No,Sí
1970,BAFTA,Maggie Smith,Femenino,Reino Unido,The Prime of Miss Jean Brodie,Inglés,No,Sí
1970,BAFTA,Robert Redford,Masculino,Estados Unidos,Butch Cassidy and the Sundance Kid,Inglés,Sí,No
1970,Festival de Cannes,Marcello Mastroianni,Masculino,Italia,Dramma della gelosia,Italiano,No,No
1970,Festival de Cannes,Ottavia Piccolo,Femenino,Italia,Metello,Italiano,No,No
1970,Globo de Oro,Geneviève Bujold,Femenino,Canadá,Anne of the Thousand Days,Inglés,No,Sí
1970,Globo de Oro,John Wayne,Masculino,Estados Unidos,True Grit,Inglés,Sí,Sí
1970,Globo de Oro,Patty Duke,Femenino,Estados Unidos,"Me, Natalie",Inglés,Sí,No
1970,Globo de Oro,Peter O'Toole,Masculino,Irlanda,"Goodbye, Mr. Chips",Inglés,Sí,Sí
